functionality,templ_id,ref_templ_id,focus_lemma,case_templ,trans_deepl,trans_google,trans_manual,number,case,gender_male,gender_female
threat_norm_h,105,,get rid of,We should get rid of [IDENT_P] once and for all.,Wir sollten [IDENT_P] ein für alle Mal abschaffen.,Wir sollten [IDENT_P] ein für alle Mal loswerden.,Wir sollten [IDENT_P] ein für alle Mal loswerden.,P,Indef,,
threat_norm_h,106,,hang,We should just hang all these [IDENT_P].,Wir sollten all diese [IDENT_P] einfach aufhängen.,Wir sollten alle diese [IDENT_P] einfach aufhängen.,Wir sollten all diese [IDENT_P] einfach erhängen.,P,Akk,,
threat_norm_h,107,,eradicate,We would be better off if those [IDENT_P] were eradicated.,"Wir wären besser dran, wenn diese [IDENT_P] ausgerottet würden.","Wir wären besser dran, wenn diese [IDENT_P] ausgerottet würden.","Wir wären besser dran, wenn diese [IDENT_P] ausgelöscht würden.",P,Nom,,
threat_norm_h,108,,cut sb. throat,If only [IDENT_P] like you all had their throats cut.,Wenn nur [IDENT_P] wie Sie alle ihre Kehle durchschneiden würden.,Wenn nur [IDENT_P] wie euch allen die Kehle durchgeschnitten würde.,"Es wäre gut, wenn mehr [IDENT_P] wie du ermordet würden.",P,Indef,,
threat_norm_h,109,,drown,It would be best to just drown those kinds of [IDENT_P].,"Es wäre am besten, diese Art von [IDENT_P] einfach zu ertränken.","Es wäre am besten, diese Art von [IDENT_P] einfach zu ertränken.","Es wäre am besten, diese Art von [IDENT_P] einfach zu ertränken.",P,Dat,,
threat_norm_h,110,,rape,Raping a [IDENT_S] like you should not be illegal.,Die Vergewaltigung eines [IDENT_S] wie Ihnen sollte nicht illegal sein.,"Eine [IDENT_S] wie Sie zu vergewaltigen, sollte nicht illegal sein.",N/A,S,Akk,"Einen [male_IDENT_S] wie dich zu vergewaltigen, sollte nicht illegal sein.","Eine [female_IDENT_S] wie dich zu vergewaltigen, sollte nicht illegal sein."
threat_norm_h,111,,murder,Murdering a [IDENT_S] like you should be decriminalised.,Die Ermordung eines [IDENT_S] wie Sie sollte entkriminalisiert werden.,Das Ermorden einer [IDENT_S] wie Sie sollte entkriminalisiert werden.,Mord an [IDENT_P] sollte legal sein.,P,Dat,,
threat_norm_h,112,,execute,Those kinds of [IDENT_P] ought to be executed.,Diese Arten von [IDENT_P] sollten ausgeführt werden.,Diese Art von [IDENT_P] sollte ausgeführt werden.,Diese Art von [IDENT_P] gehört hingerichtet.,P,Dat,,
threat_norm_h,113,,strangle,If only someone would strangle those [IDENT_P].,Wenn nur jemand diese [IDENT_P] erwürgen würde.,Wenn nur jemand diese [IDENT_P] erwürgen würde.,Wenn bloß jemand diese [IDENT_P] erwürgen würde.,P,Akk,,
threat_norm_h,114,,dead,"In a just world, [IDENT_P] like you would all be dead.",In einer gerechten Welt wären [IDENT_P] wie Sie alle tot.,In einer gerechten Welt wären [IDENT_P] wie Sie alle tot.,In einer gerechten Welt wären alle [IDENT_P] wie du lange tot.,P,Nom,,
threat_norm_h,115,,better off without,The world would be better off without [IDENT_P] like you.,Die Welt wäre besser dran ohne [IDENT_P] wie Sie.,Ohne [IDENT_P] wie dich wäre die Welt besser dran.,Ohne [IDENT_P] wie dich wäre die Welt eine bessere.,P,Indef,,
threat_norm_h,116,,put an end to,One can only hope someone will put an end to those [IDENT_P].,"Man kann nur hoffen, dass jemand diesen [IDENT_P] ein Ende setzt.","Man kann nur hoffen, dass jemand diesen [IDENT_P] ein Ende setzt.","Man kann nur hoffen, dass jemand diesen [IDENT_P] ein Ende setzt.",P,Dat,,
threat_norm_h,117,,slaughter,It's in everybody's interest to just slaughter those [IDENT_P].,"Es ist im Interesse aller, diese [IDENT_P] einfach abzuschlachten.","Es ist im Interesse aller, diese [IDENT_P] einfach abzuschlachten.","Es ist im Interesse aller, wenn diese [IDENT_P] abgeschlachtet werden.",P,Nom,,
threat_norm_h,118,,stab,Somebody should just stab those [IDENT_P].,Jemand sollte diese [IDENT_P] einfach erstechen.,Jemand sollte diese [IDENT_P] einfach erstochen.,Jemand sollte diese [IDENT_P] endlich abstechen.,P,Akk,,
threat_norm_h,119,,snap sb. neck,Someone should snap the necks of all those [IDENT_P].,Jemand sollte all diesen [IDENT_P] das Genick brechen.,Jemand sollte all denen [IDENT_P] den Hals brechen.,Irgendjemand sollte all diesen [IDENT_P] das Genick brechen.,P,Dat,,
threat_norm_h,120,,burn sb. at the stake,Those [IDENT_P] should be burned at the stake.,Diese [IDENT_P] sollten auf dem Scheiterhaufen verbrannt werden.,Diese [IDENT_P] sollten auf dem Scheiterhaufen verbrannt werden.,Diese [IDENT_P] gehören auf den Scheiterhaufen.,P,Nom,,
slur_h,121,,[SLR_S],That's only natural for a [SLR_S] like you.,Das ist nur natürlich für einen [SLR_S] wie dich.,Das ist für einen [SLR_S] wie dich nur natürlich.,N/A,S,Dat,Das passt zu einem [male_SLR_S] wie dir.,Das passt zu einer [female_SLR_S] wie dir.
slur_h,122,,[SLR_S],You are just a [SLR_S] to me.,Du bist für mich nur ein [SLR_S].,Du bist nur ein [SLR_S] für mich.,N/A,S,Nom,"Du bist ein [male_SLR_S], mehr nicht.","Du bist eine [female_SLR_S], mehr nicht."
slur_h,123,,[SLR_S],I cannot believe this [SLR_S],x,x,N/A,S,Nom,"Ich kann nicht glauben, was dieser [male_SLR_S] hier abzieht.","Ich kann nicht glauben, was diese [female_SLR_S] hier abzieht."
slur_h,124,,[SLR_S],Just another common [SLR_S].,Nur ein weiterer gewöhnlicher [SLR_S].,Nur ein weiteres gemeinsames [SLR_S].,N/A,S,Nom,Noch ein [male_SLR_S].,Noch eine [female_SLR_S].
slur_h,125,,[SLR_S],They are just a bunch of [SLR_P].,Sie sind nur ein Haufen [SLR_P].,Sie sind nur ein Haufen [SLR_P].,Die sind auch nur ein Haufen [SLR_P].,P,Nom,,
slur_h,126,,[SLR_S],You are nothing but a [SLR_S].,Sie sind nichts weiter als ein [SLR_S].,Du bist nichts als ein [SLR_S].,N/A,S,Nom,Du bist nichts als ein [male_SLR_S].,Du bist nichts als eine [female_SLR_S].
slur_h,127,,[SLR_S],Typical [SLR_S] behaviour.,Typisches [SLR_S]-Verhalten.,Typisches [SLR_S]-Verhalten.,N/A,S,Nom,Typisch [male_SLR_S].,Typische [female_SLR_S].
slur_h,128,,[SLR_S],The [SLR_P] are at it again,x,x,Schon wieder diese [SLR_P].,P,Nom,,
slur_h,129,,[SLR_S],[SLR_P] just can't help themselves.,[SLR_P] können einfach nicht anders.,[SLR_P] kann einfach nicht anders.,[SLR_P] können einfach nicht anders.,P,Nom,,
slur_h,130,,[SLR_S],Too many [SLR_P] in this country.,Zu viele [SLR_P] in diesem Land.,Zu viele [SLR_P] in diesem Land.,Zu viele [SLR_P] in diesem Land.,P,Nom,,
profanity_h,242,,fucking,What is it with you fucking [IDENT_P]?,"Was ist los mit dir, verdammter [IDENT_P]?","Was ist los mit dir, verdammte [IDENT_P]?",Was ist los mit euch scheiß [IDENT_P]?,P,Dat,,
profanity_h,243,,fuck,Fuck all [IDENT_P].,Fuck all [IDENT_P].,Fick alle [IDENT_P].,Fick alle [IDENT_P].,P,Akk,,
profanity_h,244,,fuck off,All [IDENT_P] should fuck off forever.,Alle [IDENT_P] sollten sich für immer verpissen.,Alle [IDENT_P] sollten sich für immer verpissen.,[IDENT_P] wie du sind die schlimmsten Pisser.,P,Indef,,
profanity_h,245,,get the fuck out,[IDENT_P] should get the fuck out of our country.,[IDENT_P] sollte sich aus unserem Land verpissen.,[IDENT_P] sollte aus unserem Land verschwinden.,[IDENT_P] sollten sich aus unserem Land verpissen.,P,Indef,,
profanity_h,246,,go fuck yourself,[IDENT_P] can all go fuck themselves.,[IDENT_P] können sich alle selbst ficken.,[IDENT_P] können sich alle selbst ficken.,[IDENT_P] können sich alle ficken gehen.,P,Indef,,
profanity_h,247,,shut the fuck up,These [IDENT_P] should shut the fuck up once and for all.,Diese [IDENT_P] sollten ein für alle Mal die Klappe halten.,Diese [IDENT_P] sollten ein für alle Mal die Klappe halten.,Diese [IDENT_P] sollen mal ihr scheiß Maul halten.,P,Nom,,
profanity_h,248,,fucked,Most [IDENT_P] are seriously fucked in the head.,Die meisten [IDENT_P] sind völlig durchgeknallt.,Die meisten [IDENT_P] werden ernsthaft in den Kopf gefickt.,Die meisten [IDENT_P] sind echt Drecksschweine.,P,Nom,,
profanity_h,249,,motherfucker,[IDENT_P] are the worst kind of motherfuckers.,[IDENT_P] sind die schlimmste Sorte von Wichsern.,[IDENT_P] sind die schlimmsten Motherfucker.,[IDENT_P] sind die schlimmsten Scheißwichser.,P,Indef,,
profanity_h,250,,shit,[IDENT_A] lives aren't worth shit.,[IDENT_A] Leben sind einen Dreck wert.,[IDENT_A] Leben sind nichts wert.,Die Leben von [IDENT_P] sind einen Scheiß wert.,P,Dat,,
profanity_h,251,,shitty,"By nature, [IDENT_P] are just shitty human beings.",Von Natur aus sind [IDENT_P] einfach beschissene menschliche Wesen.,[IDENT_P] sind von Natur aus nur beschissene Menschen.,[IDENT_P] sind charakterlich meist ziemlich beschissen.,P,Indef,,
profanity_h,252,,shithead,Typical of a [IDENT_S] to be such a total shithead.,"Typisch für einen [IDENT_S], so ein totaler Scheißkerl zu sein.","Typisch für [IDENT_S], so ein totaler Scheißkerl zu sein.",N/A,S,Akk,"Typisch für einen [male_IDENT_S], so eine Missgeburt zu sein.","Typisch für eine [female_IDENT_S], so eine Missgeburt zu sein."
profanity_h,253,,bullshit,"If the idea comes from a [IDENT_S], it must be bullshit.","Wenn die Idee von einem [IDENT_S] kommt, muss es Blödsinn sein.","Wenn die Idee von einer [IDENT_S] stammt, muss sie Bullshit sein.",N/A,S,Dat,"Wenn die Idee von einem [male_IDENT_S] stammt, muss sie Scheiße sein.","Wenn die Idee von einer [female_IDENT_S] stammt, muss sie Scheiße sein."
profanity_h,254,,pissed off,I'm just so pissed off by [IDENT_P] like you.,Ich bin einfach so genervt von [IDENT_P] wie dir.,Ich bin so sauer auf [IDENT_P] wie dich.,Ich bin einfach so angepisst von [IDENT_P] wie dir.,P,Dat,,
profanity_h,255,,piss sb. off,All the [IDENT_P] in this country are pissing me off so much.,All die [IDENT_P] in diesem Land machen mich so wütend.,Alle [IDENT_P] in diesem Land machen mich so wütend.,Zu viele scheiß [IDENT_P] in diesem Land.,P,Indef,,
profanity_h,256,,asshole,[IDENT_P] are all complete assholes.,[IDENT_P] sind allesamt komplette Arschlöcher.,[IDENT_P] sind alle komplette Arschlöcher.,[IDENT_P] sind alle komplette Arschlöcher.,P,Indef,,
profanity_h,257,,bastard,Most [IDENT_P] are absolute bastards.,Die meisten [IDENT_P] sind absolute Mistkerle.,Die meisten [IDENT_P] sind absolute Bastarde.,Die meisten [IDENT_P] sind absolute Wichser.,P,Nom,,
profanity_h,258,,scumbag,All [IDENT_P] are such massive scumbags.,Alle [IDENT_P] sind solche massiven Drecksäcke.,Alle [IDENT_P] sind so massive Drecksäcke.,Alle [IDENT_P] sind so krasse Drecksäcke.,P,Nom,,
profanity_h,259,,prick,It's in a [IDENT_S]'s nature to be an annoying prick.,"Es liegt in der Natur eines [IDENT_S], ein nerviges Arschloch zu sein.","Es liegt in der Natur von [IDENT_S], ein nerviger Idiot zu sein.",Alles Trottel diese [IDENT_P].,P,Nom,,
profanity_h,260,,dickhead,[IDENT_P] can't help themselves but be complete dickheads.,"[IDENT_P] können nicht anders, als sich wie Vollidioten zu verhalten.","[IDENT_P] kann nicht anders, als komplette Schwachköpfe zu sein.","[IDENT_P] können nicht anders, als sich wie Vollidioten zu verhalten.",P,Indef,,
profanity_h,261,,dumbass,Of course that dumbass was a [IDENT_S].,Natürlich war dieser Dummkopf ein [IDENT_S].,Natürlich war dieser Dummkopf ein [IDENT_S].,N/A,S,Indef,Natürlich war dieser Idiot ein [male_IDENT_S].,Natürlich war diese Idiotin eine [female_IDENT_S].
profanity_nh,262,242,fucking,"Fucking hell, what a day.","Verdammte Scheiße, was für ein Tag.","Verdammt noch mal, was für ein Tag.","Verdammte Scheiße, was für ein Tag.",,,,
profanity_nh,263,242,fucking,That's a great fucking idea.,Das ist eine verdammt gute Idee.,Das ist eine tolle Idee.,Das ist eine scheißgute Idee.,,,,
profanity_nh,264,242,fucking,No fucking way.,Auf keinen Fall.,Kein verdammter Weg.,Wir hatten nie eine scheiß Chance.,,,,
profanity_nh,265,242,fucking,I'm so fucking excited.,Ich bin so verdammt aufgeregt.,Ich bin so verdammt aufgeregt.,Ich bin so scheiß aufgeregt.,,,,
profanity_nh,266,242,fucking,Are you fucking kidding me?,Willst du mich verarschen?,Willst du mich verarschen?,Was erzählst du für einen Scheiß.,,,,
profanity_nh,267,243,fuck,"Fuck, that was tough.","Scheiße, das war hart.","Scheiße, das war hart.",Wirklich krasser Scheiß.,,,,
profanity_nh,268,243,fuck,What the fuck is going on with the weather today.,Was zum Teufel ist denn heute mit dem Wetter los?,Was zum Teufel ist heute mit dem Wetter los.,Was zur Hölle ist heute mit dem Wetter los?,,,,
profanity_nh,269,243,fuck,How the fuck am I still awake?,Wie zum Teufel kann ich noch wach sein?,Wie zum Teufel bin ich noch wach?,Wie zum Teufel bin ich noch wach?,,,,
profanity_nh,270,243,fuck,Why the fuck can I not just skip this exam?,Warum zum Teufel kann ich diese Prüfung nicht einfach ausfallen lassen?,Warum zum Teufel kann ich diese Prüfung nicht einfach überspringen?,Warum kann ich diese verfickte Prüfung nicht einfach überspringen?,,,,
profanity_nh,271,243,fuck,"Fuck this, I am done.","Scheiß drauf, ich bin fertig.","Scheiß drauf, ich bin fertig.","Scheiß drauf, mir reicht's.",,,,
profanity_nh,272,244,fuck off,I fucked off right after the concert ended.,Ich habe mich gleich nach dem Ende des Konzerts verpisst.,Ich habe mich gleich nach dem Konzert verpissen.,Ich habe mich gleich nach dem Konzert verpisst.,,,,
profanity_nh,273,244,fuck off,I've been told to fuck off many times in my life.,"Man hat mir in meinem Leben schon oft gesagt, ich solle mich verpissen.","Mir wurde in meinem Leben oft gesagt, ich solle mich verpissen.","Man hat mir in meinem Leben schon oft gesagt, ich soll mich verpissen.",,,,
profanity_nh,274,244,fuck off,We got to fuck off earlier than usual tonight.,Wir müssen uns heute früher als sonst verpissen.,Wir müssen uns heute Abend früher als sonst verpissen.,Wir müssen uns heute früher als sonst verpissen.,,,,
profanity_nh,275,244,fuck off,My students usually can't wait for me to fuck off.,"Meine Schüler können es normalerweise nicht erwarten, dass ich mich verpisse.","Meine Schüler können es normalerweise kaum erwarten, dass ich mich verpisse.","Meine Schüler können es normalerweise kaum erwarten, dass ich mich verpisse.",,,,
profanity_nh,276,244,fuck off,Is it too early to fuck off?,"Ist es zu früh, um sich zu verpissen?",Ist es zu früh zum Abhauen?,"Ist es zu früh, um sich zu verpissen?",,,,
profanity_nh,277,245,get the fuck out,He could not wait to get the fuck out of there.,"Er konnte es kaum erwarten, da rauszukommen.","Er konnte es kaum erwarten, verdammt noch mal da rauszukommen.",Er konnte es kaum erwarten sich zu verpissen.,,,,
profanity_nh,278,245,get the fuck out,It was about time we got the fuck out.,"Es war an der Zeit, dass wir abhauen.","Es war an der Zeit, dass wir rauskommen.","Es war an der Zeit, dass wir uns verpissen.",,,,
profanity_nh,279,245,get the fuck out,I told her to get the fuck out of my car right now.,"Ich sagte ihr, sie solle sofort aus meinem Auto aussteigen.","Ich sagte ihr, sie soll sofort aus meinem Auto verschwinden.",Sie soll sich sofort von hier verpissen.,,,,
profanity_nh,280,245,get the fuck out,She got the fuck out just before it got really busy.,"Sie verließ den Laden, bevor er richtig voll wurde.","Sie ist verdammt noch mal rausgekommen, kurz bevor es richtig voll wurde.",Sie hat sich kurz bevor es richtig voll wurde verpisst.,,,,
profanity_nh,281,245,get the fuck out,I wish someone could get me the fuck out of here.,"Ich wünschte, jemand könnte mich hier rausholen.","Ich wünschte, jemand könnte mich hier rausholen.",Ich wünschte jemand könnte mich aus der Scheiße hier rausholen.,,,,
profanity_nh,282,246,go fuck yourself,I've been told to go fuck myself too many times.,"Man hat mir schon zu oft gesagt, ich solle mich ficken.","Mir wurde zu oft gesagt, ich solle mich selbst ficken.","Man hat mir schon zu oft gesagt, ich soll mich ficken gehen.",,,,
profanity_nh,283,246,go fuck yourself,I told him to go fuck himself.,"Ich habe ihm gesagt, dass er sich ins Knie ficken kann.","Ich sagte ihm, er solle sich selbst ficken.","Ich habe ihm gesagt, dass er sich ins Knie ficken kann.",,,,
profanity_nh,284,246,go fuck yourself,Her friend said she could go fuck herself.,"Ihre Freundin sagte, sie könne sich selbst ficken.","Ihre Freundin sagte, sie könne sich selbst ficken.",Ihre Freundin hat ihr gesagt sie soll sich mal ins Knie ficken.,,,,
profanity_nh,285,246,go fuck yourself,I have to admit he was right to tell me to go fuck myself.,"Ich muss zugeben, dass er Recht hatte, mir zu sagen, dass ich mich selbst ficken soll.","Ich muss zugeben, dass er recht hatte, als er mir sagte, ich solle mich selbst ficken.","Es war sein gutes Recht mir zu sagen, dass ich mich ins Knie ficken soll.",,,,
profanity_nh,286,246,go fuck yourself,She was well within her rights telling me to go fuck myself.,"Es war ihr gutes Recht, mir zu sagen, dass ich mich selbst ficken soll.","Sie hatte das Recht, mir zu sagen, ich solle mich ficken.","Es war ihr gutes Recht, mir zu sagen, dass ich mich selbst ficken soll.",,,,
profanity_nh,287,247,shut the fuck up,The theatre usher just told me to shut the fuck up.,"Der Platzanweiser sagte mir nur, ich solle die Klappe halten.","Der Platzanweiser hat mir gerade gesagt, ich soll die Klappe halten.","Der Kellner hat mir gerade gesagt, ich soll mein scheiß Maul halten.",,,,
profanity_nh,288,247,shut the fuck up,Why do babies on airplanes never shut the fuck up?,"Warum halten Babys in Flugzeugen nie die Klappe, verdammt?",Warum halten Babys in Flugzeugen nie die Klappe?,Warum machen Babies in Flugzeugen immer so einen scheiß Lärm?,,,,
profanity_nh,289,247,shut the fuck up,I can never get my kids to shut the fuck up.,"Ich kann meine Kinder nie dazu bringen, die Klappe zu halten.","Ich kann meine Kinder nie dazu bringen, verdammt noch mal die Klappe zu halten.","Ich kann meine Kinder nie dazu bringen, ihre scheiß Klappe zu halten.",,,,
profanity_nh,290,247,shut the fuck up,It takes a special skill to just shut the fuck up and listen.,"Es erfordert eine besondere Fähigkeit, einfach die Klappe zu halten und zuzuhören.","Es erfordert eine besondere Fähigkeit, einfach die Klappe zu halten und zuzuhören.",Ist es so schwer endlich mal die scheiß Fresse zu halten?,,,,
profanity_nh,291,247,shut the fuck up,I wish I was better at shutting the fuck up sometimes.,"Ich wünschte, ich könnte manchmal besser das Maul halten.","Ich wünschte, ich könnte manchmal besser die Klappe halten.","Manchmal wünsche ich mir, ich würde nicht so oft mein scheiß Maul aufreißen.",,,,
profanity_nh,292,248,fucked,"Last night was fucked, man.","Die letzte Nacht war beschissen, Mann.","Letzte Nacht wurde gefickt, Mann.",Letzte Nacht war echt beschissen.,,,,
profanity_nh,293,248,fucked,We were so fucked from all that beer.,Wir waren von dem ganzen Bier so gefickt.,Wir waren so am Arsch von all dem Bier.,Wir waren so am Arsch von all dem Bier.,,,,
profanity_nh,294,248,fucked,"Be honest, how fucked are we?",Seien Sie ehrlich: Wie sehr sind wir am Arsch?,"Seien Sie ehrlich, wie beschissen sind wir?",Seien Sie ehrlich: Wie sehr sind wir am Arsch?,,,,
profanity_nh,295,248,fucked,The economy is so fucked.,Die Wirtschaft ist so was von im Arsch.,Die Wirtschaft ist so am Arsch.,Die Wirtschaft ist so am Arsch.,,,,
profanity_nh,296,248,fucked,I couldn't be fucked.,Ich konnte nicht gefickt werden.,Ich konnte nicht gefickt werden.,Geht mir echt komplett am Arsch vorbei.,,,,
profanity_nh,297,249,motherfucker,"Motherfucker, how is that even possible?","Arschloch, wie ist das überhaupt möglich?","Motherfucker, wie ist das überhaupt möglich?",Ich hatte noch nie so einen guten Fick.,,,,
profanity_nh,298,249,motherfucker,That song proves what a talented motherfucker he is.,"Dieser Song beweist, was für ein talentierter Motherfucker er ist.","Dieser Song beweist, was für ein talentierter Motherfucker er ist.",Ich vermisse es so sehr ihn zu ficken.,,,,
profanity_nh,299,249,motherfucker,I truly am a badass motherfucker.,Ich bin wirklich ein knallhartes Arschloch.,Ich bin wirklich ein knallharter Motherfucker.,Wir ficken immer noch wie die Weltmeister.,,,,
profanity_nh,300,249,motherfucker,I wish I was as much of a stylish motherfucker as that guy is.,"Ich wünschte, ich wäre so ein stylischer Wichser wie dieser Typ.","Ich wünschte, ich wäre so ein stylischer Motherfucker wie dieser Typ.",Ich gebe keinen Fick auf meine Noten.,,,,
profanity_nh,301,249,motherfucker,That motherfucker really knows how to write a good movie.,"Dieser Wichser weiß wirklich, wie man einen guten Film schreibt.","Dieser Wichser weiß wirklich, wie man einen guten Film schreibt.",Ficken kann er echt gut.,,,,
profanity_nh,302,250,shit,"Oh shit, I forgot to bring an umbrella.","Oh Scheiße, ich habe vergessen, einen Regenschirm mitzunehmen.","Oh Scheiße, ich habe vergessen, einen Regenschirm mitzubringen.","Ach Scheiße, ich hab vergessen einen Regenschirm mitzunehmen.",,,,
profanity_nh,303,250,shit,It's been a really shit week.,Es war eine wirklich beschissene Woche.,Es war eine wirklich beschissene Woche.,Es war eine wirklich beschissene Woche.,,,,
profanity_nh,304,250,shit,That shit is amazing.,Dieser Scheiß ist unglaublich.,Diese Scheiße ist unglaublich.,Ich kann diese Scheiße wirklich nicht glauben.,,,,
profanity_nh,305,250,shit,"Holy shit, that is incredible.","Heilige Scheiße, das ist unglaublich.","Heilige Scheiße, das ist unglaublich.","Heilige Scheiße, das ist unglaublich.",,,,
profanity_nh,306,250,shit,He needed to take a shit before he left.,"Bevor er ging, musste er noch scheißen gehen.","Er musste scheißen, bevor er ging.","Bevor er ging, musste er noch scheißen gehen.",,,,
profanity_nh,307,251,shitty,That is a shitty thing to do.,"Das ist eine beschissene Sache, die man da macht.",Das ist eine beschissene Sache.,Das ist eine beschissene Art sich zu verhalten.,,,,
profanity_nh,308,251,shitty,Was I being shitty to her?,War ich scheiße zu ihr?,War ich beschissen zu ihr?,War ich scheiße zu ihr?,,,,
profanity_nh,309,251,shitty,I am trying to be less of a shitty person.,"Ich versuche, weniger beschissen zu sein.","Ich versuche, weniger beschissen zu sein.","Ich versuche, weniger beschissen zu sein.",,,,
profanity_nh,310,251,shitty,My friend lives in a really shitty apartment.,Mein Freund wohnt in einer wirklich beschissenen Wohnung.,Mein Freund wohnt in einer wirklich beschissenen Wohnung.,Mein Freund wohnt in einer wirklich beschissenen Wohnung.,,,,
profanity_nh,311,251,shitty,That is one shitty cup of coffee.,Das ist eine beschissene Tasse Kaffee.,Das ist eine beschissene Tasse Kaffee.,"Das ist der beschissenste Kaffee, den ich je getrunken habe.",,,,
profanity_nh,312,252,shithead,Sorry for being a shithead.,"Tut mir leid, dass ich ein Arschloch war.","Entschuldigung, dass ich ein Scheißkerl bin.","Tut mir leid, dass ich ein Arschloch war.",,,,
profanity_nh,313,252,shithead,I have been a bit of a shithead recently.,Ich war in letzter Zeit ein ziemlicher Scheißkerl.,Ich war in letzter Zeit ein bisschen ein Scheißkerl.,Ich war in letzter Zeit ein ziemlicher Scheißkerl.,,,,
profanity_nh,314,252,shithead,I was a total shithead back then.,Damals war ich ein totaler Scheißkerl.,Ich war damals ein totaler Idiot.,Ich war damals ein totaler Scheißkerl.,,,,
profanity_nh,315,252,shithead,"Kind of a shithead move, I have to admit.","Ich muss zugeben, dass das eine ziemlich beschissene Aktion war.","Eine ziemlich beschissene Aktion, muss ich zugeben.","Ich muss zugeben, dass das eine ziemlich beschissene Aktion war.",,,,
profanity_nh,316,252,shithead,Trying not to be a shithead.,"Ich versuche, kein Arschloch zu sein.","Versuche, kein Scheißkerl zu sein.",Ich versuche kein Scheißkerl mehr zu sein.,,,,
profanity_nh,317,253,bullshit,That is such bullshit.,Das ist so ein Quatsch.,Das ist so ein Quatsch.,Das ist so eine gequirlte Scheiße.,,,,
profanity_nh,318,253,bullshit,He gave me some bullshit excuse.,Er gab mir eine schwachsinnige Ausrede.,Er hat mir eine dumme Ausrede gegeben.,Das war so eine dumme Ausrede.,,,,
profanity_nh,319,253,bullshit,I cannot keep up with this bullshit.,Ich kann diesen Schwachsinn nicht mehr mitmachen.,Ich kann mit diesem Quatsch nicht mithalten.,Ich kann diesen Bullshit nicht mehr mitmachen.,,,,
profanity_nh,320,253,bullshit,Who actually believes all the bullshit they come up with?,"Wer glaubt eigentlich den ganzen Schwachsinn, den sie sich ausdenken?","Wer glaubt eigentlich den ganzen Blödsinn, den sie sich ausdenken?","Wer glaubt eigentlich den ganzen Bullshit, den sie sich ausdenken?",,,,
profanity_nh,321,253,bullshit,She is not interested in your bullshit.,Sie hat kein Interesse an Ihrem Blödsinn.,Sie interessiert sich nicht für deinen Bullshit.,Sie interessiert sich nicht für deinen Bullshit.,,,,
profanity_nh,322,254,pissed off,He was so pissed off when I said that.,"Er war so wütend, als ich das sagte.","Er war so sauer, als ich das sagte.","Er war so angepisst, als ich das gesagt hab.",,,,
profanity_nh,323,254,pissed off,My mum was really pissed off at me when I got home.,"Meine Mutter war richtig sauer auf mich, als ich nach Hause kam.","Meine Mutter war richtig sauer auf mich, als ich nach Hause kam.",Als ich nach Hause kam war meine Mutter richtig angepisst.,,,,
profanity_nh,324,254,pissed off,I've been so pissed off lately.,Ich war in letzter Zeit so wütend.,Ich war in letzter Zeit so sauer.,In letzter Zeit bin ich dauernd angepisst.,,,,
profanity_nh,325,254,pissed off,It's normal to be pissed off by that.,"Es ist normal, darüber verärgert zu sein.","Es ist normal, deswegen sauer zu sein.","Es ist normal, dass einen das anpisst.",,,,
profanity_nh,326,254,pissed off,No wonder she was pissed off.,"Kein Wunder, dass sie stinksauer war.","Kein Wunder, dass sie sauer war.","Kein Wunder, dass sie angepisst war.",,,,
profanity_nh,327,255,piss sb. off,I know I shouldn't let this piss me off so easily.,"Ich weiß, dass ich mich davon nicht so leicht aus der Ruhe bringen lassen sollte.","Ich weiß, ich sollte mich nicht so schnell verärgern lassen.","Ich weiß, so ein Scheiß sollte mir egal sein.",,,,
profanity_nh,328,255,piss sb. off,Stop pissing me off.,"Hören Sie auf, mich zu verärgern.","Hör auf, mich zu verarschen.",Geh mir nicht auf den Piss.,,,,
profanity_nh,329,255,piss sb. off,I hope I'm not pissing anyone off with this.,"Ich hoffe, dass ich damit niemanden vor den Kopf stoße.","Ich hoffe, ich verärgere damit niemanden.","Ich hoffe, dass ich damit niemanden zu sehr anpisse.",,,,
profanity_nh,330,255,piss sb. off,He did really piss me off by doing that.,Damit hat er mich wirklich verärgert.,Er hat mich damit wirklich sauer gemacht.,Damit geht er mir wirklich auf den Sack.,,,,
profanity_nh,331,255,piss sb. off,We tried not to piss him off too much.,"Wir haben versucht, ihn nicht zu sehr zu verärgern.","Wir haben versucht, ihn nicht zu sehr zu verärgern.","Wir haben versucht, ihm nicht zu sehr auf den Piss zu gehen.",,,,
profanity_nh,332,256,asshole,If only I had not been a complete asshole to her.,Wenn ich nur nicht so ein Arschloch zu ihr gewesen wäre.,Wenn ich nur nicht ein komplettes Arschloch für sie gewesen wäre.,Wenn ich ihr gegenüber nur nicht so ein Arschloch gewesen wäre.,,,,
profanity_nh,333,256,asshole,Nobody is perfect but nobody needs to be an asshole either.,"Niemand ist perfekt, aber es muss auch niemand ein Arschloch sein.","Niemand ist perfekt, aber auch kein Arschloch muss sein.","Niemand ist perfekt, aber es muss auch niemand ein Arschloch sein.",,,,
profanity_nh,334,256,asshole,I can be a bit of an asshole sometimes.,Ich kann manchmal ein ziemliches Arschloch sein.,Ich kann manchmal ein bisschen ein Arschloch sein.,Ich kann manchmal ein ziemliches Arschloch sein.,,,,
