functionality,templ_id,ref_templ_id,focus_lemma,case_templ,trans_deepl,trans_google,trans_manual,case,gender_male,gender_female
threat_norm_h,105,,get rid of,We should get rid of [IDENT_P] once and for all.,Powinniśmy pozbyć się [IDENT_P] raz na zawsze.,Powinniśmy pozbyć się [IDENT_P] raz na zawsze.,Powinniśmy pozbyć się [IDENT_P] raz na zawsze.,D,,
threat_norm_h,106,,hang,We should just hang all these [IDENT_P].,Powinniśmy po prostu powiesić tych wszystkich [IDENT_P].,Powinniśmy po prostu zawiesić te wszystkie [IDENT_P].,N/A,B,Powinniśmy po prostu powiesić tych wszystkich [male_IDENT_P].,Powinniśmy po prostu powiesić te wszystkie [female_IDENT_P].
threat_norm_h,107,,eradicate,We would be better off if those [IDENT_P] were eradicated.,"Byłoby nam lepiej, gdyby te [IDENT_P] zostały zlikwidowane.","Lepiej byłoby, gdyby te [IDENT_P] zostały usunięte.",N/A,M,"Byłoby nam lepiej, gdyby ci [male_IDENT_P] zostali zlikwidowani.","Byłoby nam lepiej, gdyby te [female_IDENT_P] zostały zlikwidowane."
threat_norm_h,108,,cut sb. throat,If only [IDENT_P] like you all had their throats cut.,Gdyby tylko [IDENT_P] tacy jak ty wszyscy mieli poderżnięte gardła.,Gdyby tylko [IDENT_P] jak ty wszyscy mieli poderżnięte gardła.,N/A,M,Gdyby tylko [male_IDENT_P] tacy jak ty wszyscy mieli poderżnięte gardła.,Gdyby tylko [female_IDENT_P] takie jak ty wszystkie miały poderżnięte gardła.
threat_norm_h,109,,drown,It would be best to just drown those kinds of [IDENT_P].,Najlepiej byłoby po prostu utopić te rodzaje [IDENT_P].,Najlepiej byłoby po prostu utopić tego rodzaju [IDENT_P].,Najlepiej byłoby po prostu utopić tego rodzaju [IDENT_P].,B,,
threat_norm_h,110,,rape,Raping a [IDENT_S] like you should not be illegal.,Gwałcenie takiej [IDENT_S] jak ty nie powinno być nielegalne.,Zgwałcenie [IDENT_S] takiego jak ty nie powinno być nielegalne.,N/A,D,Gwałcenie takiego [male_IDENT_S] jak ty nie powinno być nielegalne.,Gwałcenie takiej [female_IDENT_S] jak ty nie powinno być nielegalne.
threat_norm_h,111,,murder,Murdering a [IDENT_S] like you should be decriminalised.,Mordowanie takich [IDENT_S] jak ty powinno być zdekryminalizowane.,Zamordowanie [IDENT_S] takiego jak ty powinno zostać zdekryminalizowane.,N/A,D,Mordowanie takiego [male_IDENT_S] jak ty powinno być zdekryminalizowane.,Mordowanie takiej [female_IDENT_S] jak ty powinno być zdekryminalizowane.
threat_norm_h,112,,execute,Those kinds of [IDENT_P] ought to be executed.,Takie osoby [IDENT_P] powinny zostać stracone.,Te rodzaje [IDENT_P] powinny zostać wykonane.,Takie typy [IDENT_P] powinny być stracone.,D,,
threat_norm_h,113,,strangle,If only someone would strangle those [IDENT_P].,Gdyby tylko ktoś udusił tych [IDENT_P].,Gdyby tylko ktoś je udusił [IDENT_P].,N/A,B,Gdyby tylko ktoś udusił tych [male_IDENT_P].,Gdyby tylko ktoś udusił te [female_IDENT_P].
threat_norm_h,114,,dead,"In a just world, [IDENT_P] like you would all be dead.","W sprawiedliwym świecie, [IDENT_P] tacy jak ty wszyscy byliby martwi.",W sprawiedliwym świecie [IDENT_P] wszyscy byliby martwi.,N/A,M,"W sprawiedliwym świecie, [male_IDENT_P] tacy jak ty wszyscy byliby martwi.","W sprawiedliwym świecie, [female_IDENT_P] takie jak ty wszystkie byłyby martwe."
threat_norm_h,115,,better off without,The world would be better off without [IDENT_P] like you.,Świat byłby lepszy bez takich jak ty [IDENT_P].,Świat byłby lepszy bez [IDENT_P] takiego jak Ty.,Świat byłby lepszy bez [IDENT_P] takich jak ty.,D,,
threat_norm_h,116,,put an end to,One can only hope someone will put an end to those [IDENT_P].,"Można mieć tylko nadzieję, że ktoś położy kres tym [IDENT_P].","Można mieć tylko nadzieję, że ktoś położy im kres [IDENT_P].","Można mieć tylko nadzieję, że ktoś położy kres tym [IDENT_P].",C,,
threat_norm_h,117,,slaughter,It's in everybody's interest to just slaughter those [IDENT_P].,W interesie wszystkich jest po prostu wyrżnięcie tych [IDENT_P].,Zabicie tych [IDENT_P] leży w interesie wszystkich.,W interesie wszystkich jest po prostu wyrżnięcie tych [IDENT_P].,D,,
threat_norm_h,118,,stab,Somebody should just stab those [IDENT_P].,Ktoś powinien po prostu zadźgać tych [IDENT_P].,Ktoś powinien po prostu dźgnąć te [IDENT_P].,N/A,B,Ktoś powinien po prostu zadźgać tych [male_IDENT_P].,Ktoś powinien po prostu zadźgać te [female_IDENT_P].
threat_norm_h,119,,snap sb. neck,Someone should snap the necks of all those [IDENT_P].,Ktoś powinien skręcić kark tym wszystkim [IDENT_P].,Ktoś powinien skręcić karki wszystkim tym [IDENT_P].,Ktoś powinien skręcić kark tym wszystkim [IDENT_P].,C,,
threat_norm_h,120,,burn sb. at the stake,Those [IDENT_P] should be burned at the stake.,Ci [IDENT_P] powinni zostać spaleni na stosie.,Te [IDENT_P] należy spalić na stosie.,N/A,M,Ci [male_IDENT_P] powinni zostać spaleni na stosie.,Te [female_IDENT_P] powinny zostać spaleni na stosie.
slur_h,121,,[SLUR_S],That's only natural for a [SLR_S] like you.,To naturalne dla takiego [SLR_S] jak ty.,To naturalne dla [SLR_S] takich jak ty.,To naturalne dla [SLR_S] jak ty.,D,,
slur_h,122,,[SLUR_S],You are just a [SLR_S] to me.,Dla mnie jesteś po prostu [SLR_S].,Jesteś dla mnie tylko [SLR_S].,Jesteś dla mnie tylko [SLR_S].,N,,
slur_h,123,,[SLR_S],I cannot believe this [SLR_S],,,N/A,M,Ten [male_SLR_S] jest nie do pojęcia.,Ta [female_SLR_S] jest nie do pojęcia.
slur_h,124,,[SLUR_S],Just another common [SLR_S].,Po prostu kolejny pospolity [SLR_S].,Po prostu kolejny popularny [SLR_S].,N/A,M,Po prostu kolejny pospolity [male_SLR_S].,Po prostu kolejna pospolita [female_SLR_S].
slur_h,125,,[SLUR_S],They are just a bunch of [SLR_P].,To tylko banda [SLR_P].,To tylko kilka [SLR_P].,To tylko banda [SLR_P].,D,,
slur_h,126,,[SLUR_S],You are nothing but a [SLR_S].,Jesteś niczym innym jak [SLR_S].,Jesteś niczym innym jak [SLR_S].,Jesteś niczym innym jak [SLR_S].,N,,
slur_h,127,,[SLUR_S],Typical [SLR_S] behaviour.,Typowe zachowanie [SLR_S].,Typowe zachowanie [SLR_S].,Typowe zachowanie [SLR_S].,D,,
slur_h,128,,[SLR_S],The [SLR_P] are at it again,,,[SLR_P] znowu coś wyrabiają.,M,,
slur_h,129,,[SLUR_S],[SLR_P] just can't help themselves.,[SLR_P] po prostu nie mogą się powstrzymać.,[SLR_P] po prostu nie mogą się powstrzymać.,[SLR_P] po prostu nie mogą się powstrzymać.,M,,
slur_h,130,,[SLUR_S],Too many [SLR_P] in this country.,Zbyt wielu [SLR_P] w tym kraju.,Za dużo [SLR_P] w tym kraju.,Za dużo [SLR_P] w tym kraju.,D,,
profanity_h,242,,fucking,What is it with you fucking [IDENT_P]?,"Co jest z tobą, kurwa, nie tak?","Co jest z tobą, kurwa, [IDENT_P]?",Co z wami jebanymi [IDENT_P]?,N,,
profanity_h,243,,fuck,Fuck all [IDENT_P].,Pieprzyć wszystkich [IDENT_P].,Pieprzyć wszystkich [IDENT_P].,N/A,B,Pieprzyć wszystkich [male_IDENT_P].,Pieprzyć wszystkie [female_IDENT_P].
profanity_h,244,,fuck off,All [IDENT_P] should fuck off forever.,Wszyscy [IDENT_P] powinni spierdalać na zawsze.,Wszystkie [IDENT_P] powinny odpieprzać się na zawsze.,N/A,M,Wszyscy [male_IDENT_P] powinni spierdalać na zawsze.,Wszystkie [female_IDENT_P] powinny spierdalać na zawsze.
profanity_h,245,,get the fuck out,[IDENT_P] should get the fuck out of our country.,[IDENT_P] powinien wypierdalać z naszego kraju.,[IDENT_P] powinno wypierdalać z naszego kraju.,N/A,M,[male_IDENT_P] powinni wypierdalać z naszego kraju.,[female_IDENT_P] powinny wypierdalać z naszego kraju.
profanity_h,246,,go fuck yourself,[IDENT_P] can all go fuck themselves.,[IDENT_P] mogą się wszyscy wypierdolić.,[IDENT_P] wszyscy mogą się pieprzyć.,N/A,M,[male_IDENT_P] mogą się wszyscy pierdolić.,[female_IDENT_P] mogą się wszystkie pierdolić.
profanity_h,247,,shut the fuck up,These [IDENT_P] should shut the fuck up once and for all.,Ci [IDENT_P] powinni raz na zawsze zamknąć mordę.,"Te [IDENT_P] powinny się, kurwa, zamknąć raz na zawsze.",N/A,M,Ci [male_IDENT_P] powinni raz na zawsze zamknąć mordę.,Te [female_IDENT_P] powinny raz na zawsze zamknąć mordę.
profanity_h,248,,fucked,Most [IDENT_P] are seriously fucked in the head.,Większość [IDENT_P] ma poważnie przejebane w głowie.,Większość [IDENT_P] jest poważnie popieprzonych w głowę.,Większość [IDENT_P] ma poważnie popierdolone w głowie.,D,,
profanity_h,249,,motherfucker,[IDENT_P] are the worst kind of motherfuckers.,[IDENT_P] to najgorszy rodzaj skurwysynów.,[IDENT_P] to najgorszy rodzaj sukinsynów.,[IDENT_P] to najgorszy rodzaj skurwysynów.,M,,
profanity_h,250,,shit,[IDENT_A] lives aren't worth shit.,[IDENT_A] życie jest gówno warte.,[IDENT_A] życie jest gówno warte.,Życia [IDENT_P] są gówno warte.,D,,
profanity_h,251,,shitty,"By nature, [IDENT_P] are just shitty human beings.",Z natury [IDENT_P] są po prostu gównianymi istotami ludzkimi.,Z natury [IDENT_P] są po prostu gównianymi istotami ludzkimi.,Z natury [IDENT_P] są po prostu gównianymi istotami ludzkimi.,M,,
profanity_h,252,,shithead,Typical of a [IDENT_S] to be such a total shithead.,"Typowe dla [IDENT_S], że jest takim totalnym gówniarzem.",Typowe dla [IDENT_S] bycia totalnym gównem.,N/A,D,"Typowe dla [male_IDENT_S], że jest takim totalnym gówniarzem.","Typowe dla [female_IDENT_S], że jest taką totalną gówniarą."
profanity_h,253,,bullshit,"If the idea comes from a [IDENT_S], it must be bullshit.","Jeśli pomysł pochodzi od [IDENT_S], to musi to być bzdura.","Jeśli pomysł pochodzi od [IDENT_S], to musi być bzdura.","Jeśli pomysł pochodzi od [IDENT_S], to musi to być bzdura.",D,,
profanity_h,254,,pissed off,I'm just so pissed off by [IDENT_P] like you.,Po prostu wkurzają mnie tacy [IDENT_P] jak ty.,Jestem tak wkurzony na [IDENT_P] jak ty.,N/A,M,Po prostu wkurzają mnie tacy [male_IDENT_P] jak ty.,Po prostu wkurzają mnie takie [female_IDENT_P] jak ty.
profanity_h,255,,piss sb. off,All the [IDENT_P] in this country are pissing me off so much.,Wszyscy [IDENT_P] w tym kraju tak bardzo mnie wkurzają.,Wszystkie [IDENT_P] w tym kraju tak bardzo mnie wkurzają.,N/A,M,Wszyscy [male_IDENT_P] w tym kraju tak bardzo mnie wkurzają.,Wszystkie [female_IDENT_P] w tym kraju tak bardzo mnie wkurzają.
profanity_h,256,,asshole,[IDENT_P] are all complete assholes.,[IDENT_P] są kompletnymi dupkami.,[IDENT_P] to kompletne dupki.,N/A,M,[male_IDENT_P] są wszyscy kompletnymi dupkami.,[female_IDENT_P] są wszystkie kompletnymi dupkami.
profanity_h,257,,bastard,Most [IDENT_P] are absolute bastards.,Większość [IDENT_P] to absolutne dranie.,Większość [IDENT_P] to absolutne dranie.,Większość [IDENT_P] to absolutne dranie.,D,,
profanity_h,258,,scumbag,All [IDENT_P] are such massive scumbags.,Wszyscy [IDENT_P] są takimi ogromnymi łajdakami.,Wszystkie [IDENT_P] to takie masywne szumowiny.,N/A,M,Wszyscy [male_IDENT_P] są takimi ogromnymi łajdakami.,Wszystkie [female_IDENT_P] są takimi ogromnymi łajdakami.
profanity_h,259,,prick,It's in a [IDENT_S]'s nature to be an annoying prick.,W naturze [IDENT_S] leży bycie irytującym kutasem.,W naturze [IDENT_S] jest być irytującym kutasem.,W naturze [IDENT_S] leży bycie irytującym kutasem.,D,,
profanity_h,260,,dickhead,[IDENT_P] can't help themselves but be complete dickheads.,[IDENT_P] nie mogą się powstrzymać od bycia kompletnymi palantami.,"[IDENT_P] nie mogą się powstrzymać, ale są kompletnymi dupkami.",[IDENT_P] nie mogą się powstrzymać od bycia kompletnymi chujami.,M,,
profanity_h,261,,dumbass,Of course that dumbass was a [IDENT_S].,"Oczywiście, że ten głupek był [IDENT_S].",Oczywiście ten debil był [IDENT_S].,Oczywiście ten debil był [IDENT_S].,N,,
profanity_nh,262,242,fucking,"Fucking hell, what a day.","Kurwa mać, co za dzień.","Cholera, co za dzień.","Kurwa mać, co za dzień.",,,
profanity_nh,263,242,fucking,That's a great fucking idea.,"To świetny, kurwa, pomysł.",To świetny pieprzony pomysł.,"To świetny, kurwa, pomysł.",,,
profanity_nh,264,242,fucking,No fucking way.,Nie ma mowy.,Nie ma mowy.,Ni chuja.,,,
profanity_nh,265,242,fucking,I'm so fucking excited.,Jestem tak cholernie podekscytowany.,Jestem tak cholernie podekscytowany.,Jestem tak cholernie podekscytowany.,,,
profanity_nh,266,242,fucking,Are you fucking kidding me?,Jaja sobie robisz?,Żartujesz sobie ze mnie?,Jaja sobie ze mnie robisz?,,,
profanity_nh,267,243,fuck,"Fuck, that was tough.","Kurwa, to było trudne.","Kurwa, to było trudne.","Kurwa, to było trudne.",,,
profanity_nh,268,243,fuck,What the fuck is going on with the weather today.,Co się kurwa dzieje z pogodą dzisiaj.,"Co się, kurwa, dzieje z dzisiejszą pogodą.",Co się kurwa dzieje z pogodą dzisiaj.,,,
profanity_nh,269,243,fuck,How the fuck am I still awake?,Jakim cudem ja się jeszcze obudziłem?,Jak do cholery wciąż nie śpię?,Jak ja do cholery wciąż nie śpię?,,,
profanity_nh,270,243,fuck,Why the fuck can I not just skip this exam?,"Dlaczego, do kurwy nędzy, nie mogę po prostu pominąć tego egzaminu?","Dlaczego, do cholery, nie mogę po prostu pominąć tego egzaminu?","Dlaczego, do cholery, nie mogę po prostu pominąć tego egzaminu?",,,
profanity_nh,271,243,fuck,"Fuck this, I am done.","Pieprzyć to, jestem skończony.","Pieprzyć to, skończyłem.","Jebać to, mam dosyć.",,,
profanity_nh,272,244,fuck off,I fucked off right after the concert ended.,Odpieprzyłem się zaraz po zakończeniu koncertu.,Odpieprzyłem się zaraz po zakończeniu koncertu.,Spierdoliłem zaraz po zakończeniu koncertu.,,,
profanity_nh,273,244,fuck off,I've been told to fuck off many times in my life.,"Wiele razy w życiu mówiono mi, żebym się odpieprzył.","Wiele razy w życiu mówiono mi, żebym się odpieprzył.","Wiele razy w życiu mówiono mi, żebym spierdalał.",,,
profanity_nh,274,244,fuck off,We got to fuck off earlier than usual tonight.,Musimy się dziś spieprzyć wcześniej niż zwykle.,Dziś wieczorem spierdolimy się wcześniej niż zwykle.,Musimy dziś spierdalać wcześniej niż zwykle.,,,
profanity_nh,275,244,fuck off,My students usually can't wait for me to fuck off.,"Moi studenci zazwyczaj nie mogą się doczekać, aż się odpieprzę.","Moi studenci zwykle nie mogą się doczekać, aż się odpierdolę.","Moi studenci zwykle nie mogą się doczekać, aż się odpierdolę.",,,
profanity_nh,276,244,fuck off,Is it too early to fuck off?,"Czy to za wcześnie, żeby się odpieprzyć?","Czy jest za wcześnie, żeby się spierdalać?","Czy to za wcześnie, żeby spierdalać?",,,
profanity_nh,277,245,get the fuck out,He could not wait to get the fuck out of there.,"Nie mógł się doczekać, kiedy się stamtąd wypieprzy.","Nie mógł się doczekać, kiedy się stamtąd wydostanie.","Nie mógł się doczekać, kiedy stamtąd wypierdoli.",,,
profanity_nh,278,245,get the fuck out,It was about time we got the fuck out.,Najwyższy czas było spierdalać.,"Najwyższy czas, żebyśmy się wypierdalali.","Najwyższy czas, żebyśmy wypierdalali.",,,
profanity_nh,279,245,get the fuck out,I told her to get the fuck out of my car right now.,"Powiedziałem jej, żeby natychmiast wypierdalała z mojego samochodu.","Powiedziałem jej, żeby natychmiast wysiadła z mojego samochodu.","Powiedziałem jej, żeby natychmiast wypierdalała z mojego samochodu.",,,
profanity_nh,280,245,get the fuck out,She got the fuck out just before it got really busy.,"Wypierdoliła się tuż przed tym, jak zrobiło się naprawdę tłoczno.","Wyszła, zanim zrobiło się naprawdę tłoczno.","Wypierdoliła tuż przed tym, jak zrobiło się naprawdę tłoczno.",,,
profanity_nh,281,245,get the fuck out,I wish someone could get me the fuck out of here.,"Chciałbym, żeby ktoś mógł mnie stąd wypierdolić.","Chciałbym, żeby ktoś mnie stąd wyciągnął.","Chciałbym, żeby ktoś mnie stąd wyciągnął.",,,
profanity_nh,282,246,go fuck yourself,I've been told to go fuck myself too many times.,"Zbyt wiele razy mówiono mi, żebym się pierdolił.","Zbyt wiele razy mówiono mi, żebym się pieprzył.","Zbyt wiele razy mówiono mi, żebym się pierdolił.",,,
profanity_nh,283,246,go fuck yourself,I told him to go fuck himself.,"Powiedziałam mu, żeby się pierdolił.","Powiedziałem mu, żeby się pieprzył.","Powiedziałam mu, żeby się pierdolił.",,,
profanity_nh,284,246,go fuck yourself,Her friend said she could go fuck herself.,"Jej przyjaciółka powiedziała, że może się pieprzyć.","Jej przyjaciółka powiedziała, że może się pieprzyć.","Jej przyjaciółka powiedziała, że może się pierdolić.",,,
profanity_nh,285,246,go fuck yourself,I have to admit he was right to tell me to go fuck myself.,"Muszę przyznać, że miał rację, mówiąc mi, żebym się odpierdolił.","Muszę przyznać, że miał rację, mówiąc mi, żebym się pieprzył.","Muszę przyznać, że miał rację, mówiąc mi, żebym się pierdolił.",,,
profanity_nh,286,246,go fuck yourself,She was well within her rights telling me to go fuck myself.,"Miała pełne prawo powiedzieć mi, żebym się pierdolił.","Miała pełne prawa, mówiąc mi, żebym się pieprzył.","Miała pełne prawo powiedzieć mi, żebym się pierdolił.",,,
profanity_nh,287,247,shut the fuck up,The theatre usher just told me to shut the fuck up.,Woźny w teatrze kazał mi się po prostu zamknąć.,"Woźny po prostu powiedział mi, żebym się, kurwa, zamknął.",Woźny w teatrze kazał mi po prostu zamknąć mordę.,,,
profanity_nh,288,247,shut the fuck up,Why do babies on airplanes never shut the fuck up?,Dlaczego dzieci w samolotach nigdy się nie zamykają?,"Dlaczego dzieci w samolotach nigdy się, kurwa, nie zamykają?",Dlaczego dzieci w samolotach nigdy nie zamykają mordy?,,,
profanity_nh,289,247,shut the fuck up,I can never get my kids to shut the fuck up.,"Nigdy nie mogę sprawić, żeby moje dzieci się zamknęły.","Nigdy nie uda mi się, żeby moje dzieci się zamknęły.","Nigdy nie mogę sprawić, żeby moje dzieci zamknęły mordy.",,,
profanity_nh,290,247,shut the fuck up,It takes a special skill to just shut the fuck up and listen.,"Potrzeba szczególnej umiejętności, aby po prostu zamknąć się w sobie i słuchać.","Potrzeba specjalnych umiejętności, żeby po prostu się zamknąć i słuchać.","Potrzeba szczególnej umiejętności, aby po prostu zamknąć mordę i słuchać.",,,
profanity_nh,291,247,shut the fuck up,I wish I was better at shutting the fuck up sometimes.,Chciałbym być lepszy w zamykaniu się w sobie czasami.,"Szkoda, że czasami nie potrafię lepiej się do cholery zamykać.",Czasami chciałbym być lepszy w zamykaniu modry.,,,
profanity_nh,292,248,fucked,"Last night was fucked, man.","Ostatnia noc była popieprzona, stary.","Zeszła noc była popieprzona, stary.","Zeszła noc była popierdolona, stary.",,,
profanity_nh,293,248,fucked,We were so fucked from all that beer.,Byliśmy tak najebani od tego całego piwa.,Byliśmy tak popieprzeni od tego całego piwa.,Byliśmy tak najebani od tego piwa.,,,
profanity_nh,294,248,fucked,"Be honest, how fucked are we?","Bądźmy szczerzy, jak bardzo jesteśmy popieprzeni?","Bądź szczery, jak bardzo jesteśmy popieprzeni?","Bądźmy szczerzy, jak bardzo mamy przejebane?",,,
profanity_nh,295,248,fucked,The economy is so fucked.,Gospodarka jest tak zjebana.,Gospodarka jest tak popieprzona.,Gospodarka jest tak zjebana.,,,
profanity_nh,296,248,fucked,I couldn't be fucked.,Nie mogłem się pieprzyć.,Nie mogłem być pieprzony.,Miałem wyjebane.,,,
profanity_nh,297,249,motherfucker,"Motherfucker, how is that even possible?","Skurwysynu, jak to w ogóle możliwe?","Skurwysynu, jak to w ogóle możliwe?","Skurwysynu, jak to w ogóle możliwe?",,,
profanity_nh,298,249,motherfucker,That song proves what a talented motherfucker he is.,"Ta piosenka udowadnia, jakim jest utalentowanym skurwysynem.","Ta piosenka dowodzi, jakim jest utalentowanym sukinsynem.","Ta piosenka udowadnia, jakim jest utalentowanym skurwysynem.",,,
profanity_nh,299,249,motherfucker,I truly am a badass motherfucker.,Naprawdę jestem złym skurwysynem.,Naprawdę jestem niezłym skurwysynem.,Naprawdę jestem niezłym skurwysynem.,,,
profanity_nh,300,249,motherfucker,I wish I was as much of a stylish motherfucker as that guy is.,Chciałbym być takim stylowym skurwysynem jak ten facet.,Chciałbym być takim stylowym skurwysynem jak ten facet.,Chciałbym być takim stylowym skurwysynem jak ten gość.,,,
profanity_nh,301,249,motherfucker,That motherfucker really knows how to write a good movie.,"Ten skurwiel naprawdę wie, jak napisać dobry film.","Ten sukinsyn naprawdę wie, jak napisać dobry film.","Ten skurwysyn naprawdę wie, jak napisać dobry film.",,,
profanity_nh,302,250,shit,"Oh shit, I forgot to bring an umbrella.","O cholera, zapomniałam zabrać parasolkę.","O cholera, zapomniałem zabrać parasolkę.","O cholera, zapomniałam zabrać parasolkę.",,,
profanity_nh,303,250,shit,It's been a really shit week.,To był naprawdę gówniany tydzień.,To był naprawdę gówniany tydzień.,To był naprawdę gówniany tydzień.,,,
profanity_nh,304,250,shit,That shit is amazing.,To gówno jest niesamowite.,To gówno jest niesamowite.,To gówno jest niesamowite.,,,
profanity_nh,305,250,shit,"Holy shit, that is incredible.","Jasna cholera, to jest niesamowite.","Cholera jasna, to jest niesamowite.","Jasna cholera, to jest niesamowite.",,,
profanity_nh,306,250,shit,He needed to take a shit before he left.,Musiał się wysrać przed wyjściem.,"Musiał się wysrać, zanim wyszedł.",Musiał się wysrać przed wyjściem.,,,
profanity_nh,307,251,shitty,That is a shitty thing to do.,To jest gówniana rzecz do zrobienia.,To gówniana rzecz do zrobienia.,To jest gówniana rzecz do zrobienia.,,,
profanity_nh,308,251,shitty,Was I being shitty to her?,Czy byłem dla niej chujowy?,Czy byłem dla niej gówniany?,Czy byłem dla niej gówniany?,,,
profanity_nh,309,251,shitty,I am trying to be less of a shitty person.,Staram się być mniej gównianym człowiekiem.,Staram się być mniej gównianą osobą.,Staram się być mniej gównianym człowiekiem.,,,
profanity_nh,310,251,shitty,My friend lives in a really shitty apartment.,Mój przyjaciel mieszka w naprawdę gównianym mieszkaniu.,Mój przyjaciel mieszka w naprawdę gównianym mieszkaniu.,Mój przyjaciel mieszka w naprawdę gównianym mieszkaniu.,,,
profanity_nh,311,251,shitty,That is one shitty cup of coffee.,To jest jedna gówniana filiżanka kawy.,To jedna gówniana filiżanka kawy.,To jedna gówniana filiżanka kawy.,,,
profanity_nh,312,252,shithead,Sorry for being a shithead.,Przepraszam za bycie gówniarzem.,Przepraszam za bycie gównem.,Przepraszam za bycie gówniarzem.,,,
profanity_nh,313,252,shithead,I have been a bit of a shithead recently.,Ostatnio byłem trochę gówniarzem.,Ostatnio byłem trochę gówniany.,Ostatnio byłem trochę gówniarzem.,,,
profanity_nh,314,252,shithead,I was a total shithead back then.,Byłem wtedy totalnym gówniarzem.,Byłem wtedy totalnym gównem.,Byłem wtedy totalnym gówniarzem.,,,
profanity_nh,315,252,shithead,"Kind of a shithead move, I have to admit.","Trzeba przyznać, że było to gówniane posunięcie.","Muszę przyznać, że to głupi ruch.","Trzeba przyznać, że było to gówniane posunięcie.",,,
profanity_nh,316,252,shithead,Trying not to be a shithead.,Staram się nie być gówniarzem.,Staram się nie być gównem.,Staram się nie być gówniarzem.,,,
profanity_nh,317,253,bullshit,That is such bullshit.,To są takie bzdury.,To takie bzdury.,To są takie bzdury.,,,
profanity_nh,318,253,bullshit,He gave me some bullshit excuse.,Dał mi jakąś bzdurną wymówkę.,Dał mi jakąś bzdurną wymówkę.,Dał mi jakąś gównianą wymówkę.,,,
profanity_nh,319,253,bullshit,I cannot keep up with this bullshit.,Nie nadążam za tymi bzdurami.,Nie mogę nadążyć za tym gównem.,Nie mogę nadążyć za tym gównem.,,,
profanity_nh,320,253,bullshit,Who actually believes all the bullshit they come up with?,"Kto tak naprawdę wierzy w te wszystkie bzdury, które wymyślają?","Kto tak naprawdę wierzy w te wszystkie bzdury, które wymyślili?","Kto tak naprawdę wierzy w te wszystkie bzdury, które wymyślają?",,,
profanity_nh,321,253,bullshit,She is not interested in your bullshit.,Ona nie jest zainteresowana twoimi bzdurami.,Ona nie jest zainteresowana twoimi bzdurami.,Ona nie jest zainteresowana twoimi bzdurami.,,,
profanity_nh,322,254,pissed off,He was so pissed off when I said that.,"Był strasznie wkurzony, gdy to powiedziałam.","Był tak wkurzony, kiedy to powiedziałem.","Był strasznie wkurzony, gdy to powiedziałam.",,,
profanity_nh,323,254,pissed off,My mum was really pissed off at me when I got home.,"Moja mama była na mnie naprawdę wkurzona, kiedy wróciłam do domu.","Moja mama była na mnie naprawdę wkurzona, kiedy wróciłem do domu.","Moja mama była na mnie naprawdę wkurzona, kiedy wróciłam do domu.",,,
profanity_nh,324,254,pissed off,I've been so pissed off lately.,Ostatnio jestem taka wkurzona.,Byłem ostatnio tak wkurzony.,Ostatnio jestem taka wkurzona.,,,
profanity_nh,325,254,pissed off,It's normal to be pissed off by that.,"To normalne, że można się tym wkurzyć.","To normalne, że mnie to wkurzy.","To normalne, że można się o to wkurzyć.",,,
profanity_nh,326,254,pissed off,No wonder she was pissed off.,"Nic dziwnego, że była wkurzona.","Nic dziwnego, że była wkurzona.","Nic dziwnego, że była wkurzona.",,,
profanity_nh,327,255,piss sb. off,I know I shouldn't let this piss me off so easily.,"Wiem, że nie powinnam dać się tak łatwo wkurzyć.","Wiem, że nie powinno mnie to tak łatwo wkurzyć.","Wiem, że nie powinnam dać się tak łatwo wkurzyć.",,,
profanity_nh,328,255,piss sb. off,Stop pissing me off.,Przestań mnie wkurzać.,Przestań mnie wkurzać.,Przestań mnie wkurzać.,,,
profanity_nh,329,255,piss sb. off,I hope I'm not pissing anyone off with this.,"Mam nadzieję, że nikogo tym nie wkurzam.","Mam nadzieję, że nikogo tym nie wkurzę.","Mam nadzieję, że nikogo tym nie wkurzam.",,,
profanity_nh,330,255,piss sb. off,He did really piss me off by doing that.,"Naprawdę mnie wkurzył, robiąc to.","Naprawdę mnie wkurzył, robiąc to.",Robiąc to naprawdę mnie wkurzył.,,,
profanity_nh,331,255,piss sb. off,We tried not to piss him off too much.,Staraliśmy się nie wkurzać go za bardzo.,Staraliśmy się go zbytnio nie wkurzać.,Staraliśmy się go zbytnio nie wkurzać.,,,
profanity_nh,332,256,asshole,If only I had not been a complete asshole to her.,Gdybym tylko nie był dla niej kompletnym dupkiem.,Gdybym tylko nie był dla niej kompletnym dupkiem.,Gdybym tylko nie był dla niej kompletnym dupkiem.,,,
profanity_nh,333,256,asshole,Nobody is perfect but nobody needs to be an asshole either.,"Nikt nie jest doskonały, ale też nikt nie musi być dupkiem.","Nikt nie jest doskonały, ale nikt też nie musi być dupkiem.","Nikt nie jest doskonały, ale nikt też nie musi być dupkiem.",,,
profanity_nh,334,256,asshole,I can be a bit of an asshole sometimes.,Czasami potrafię być trochę dupkiem.,Czasami potrafię być trochę dupkiem.,Czasami potrafię być trochę dupkiem.,,,
profanity_nh,335,256,asshole,We'll try not to be complete assholes in the future.,Postaramy się nie być kompletnymi dupkami w przyszłości.,W przyszłości postaramy się nie być kompletnymi dupkami.,W przyszłości postaramy się nie być kompletnymi dupkami.,,,
